Time (s),RPM,Coolant,Speed,Oil
0,0,40.449,0.277777778,50.449
0.1,0,40.449,0.277777778,50.449
0.2,0,40.449,0.277777778,50.449
0.3,0,40.449,0.277777778,50.449
0.4,0,40.449,0.277777778,50.449
0.5,0,40.449,0.277777778,50.449
0.6,0,40.449,0.277777778,50.449
0.7,0,40.449,0.277777778,50.449
0.8,0,40.449,0.277777778,50.449
0.9,0,40.449,0.277777778,50.449
1,0,40.449,0.277777778,50.449
1.1,0,40.449,0.277777778,50.449
1.2,0,40.449,0.277777778,50.449
1.3,0,40.449,0.277777778,50.449
1.4,0,40.449,0.277777778,50.449
1.5,0,40.449,0.277777778,50.449
1.6,0,40.449,0.277777778,50.449
1.7,0,40.449,0.277777778,50.449
1.8,0,40.449,0.277777778,50.449
1.9,0,40.449,0.277777778,50.449
2,0,40.449,0.277777778,50.449
2.1,0,40.449,0.277777778,50.449
2.2,0,40.449,0.277777778,50.449
2.3,0,40.449,0.277777778,50.449
2.4,0,40.449,0.277777778,50.449
2.5,0,40.449,0.277777778,50.449
2.6,0,40.449,0.277777778,50.449
2.7,0,40.449,0.277777778,50.449
2.8,0,40.449,0.277777778,50.449
2.9,0,40.449,0.277777778,50.449
3,0,40.449,0.277777778,50.449
3.1,0,40.449,0.277777778,50.449
3.2,0,40.449,0.277777778,50.449
3.3,0,40.449,0.277777778,50.449
3.4,0,40.449,0.277777778,50.449
3.5,128.655,40.449,0.277777778,50.449
3.6,2587.31,40.449,0.277777778,50.448
3.7,2856.526,40.449,0.277777778,50.42
3.8,2838.979,40.449,0.277777778,50.394
3.9,2829.469,40.449,0.277777778,50.398
4,2865.444,40.449,0.277777778,50.403
4.1,2859.814,40.449,0.277777778,50.427
4.2,2956.864,40.449,0.277777778,50.45
4.3,2912.576,40.449,0.277777778,50.465
4.4,2568.19,40.449,0.277777778,50.481
4.5,2009.12,40.449,0.277777778,50.516
4.6,1479.328,40.449,0.277777778,50.549
4.7,1673.107,40.449,0.277777778,50.541
4.8,2343.908,40.449,0.277777778,50.532
4.9,2930.933,40.449,0.277777778,50.489
5,3037.766,40.449,0.277777778,50.449
5.1,3255.965,40.449,0.277777778,50.449
5.2,3968.486,40.449,0.277777778,50.449
5.3,3755.175,40.449,0.277777778,50.449
5.4,3901.342,40.449,0.277777778,50.447
5.5,3636.687,40.449,0.277777778,50.408
5.6,3271.371,40.447,0.277777778,50.379
5.7,3597.327,40.413,0.277777778,50.469
5.8,3880.208,40.38,0.277777778,50.557
5.9,3622.207,40.365,0.277777778,50.605
6,3275.465,40.35,0.277777778,50.647
6.1,3760.014,40.35,0.277777778,50.62
6.2,4067.135,40.35,0.277777778,50.591
6.3,3717.961,40.35,0.277777778,50.544
6.4,3528.971,40.35,0.277777778,50.497
6.5,3765.944,40.35,0.277777778,50.45
6.6,4064.193,40.35,0.277777778,50.405
6.7,4008.592,40.35,0.277777778,50.376
6.8,3739.819,40.35,0.277777778,50.353
6.9,3886.041,40.35,0.277777778,50.384
7,3859.654,40.35,0.277777778,50.418
7.1,3731.758,40.35,0.277777778,50.474
7.2,3655.384,40.35,0.277777778,50.52
7.3,3650.471,40.35,0.277777778,50.473
7.4,3699.449,40.351,0.277777778,50.429
7.5,3481.188,40.358,0.277777778,50.41
7.6,3377.044,40.368,0.277777778,50.405
7.7,3392.926,40.411,0.277777778,50.521
7.8,3586.837,40.449,0.277777778,50.611
7.9,3520.753,40.449,0.277777778,50.474
8,3167.422,40.449,0.277777778,50.359
8.1,3218.141,40.449,0.277777778,50.454
8.2,3686.131,40.449,0.277777778,50.527
8.3,3782.563,40.449,0.2775,50.444
8.4,3315.507,40.449,0.276111111,50.369
8.5,3037.603,40.449,0.274722222,50.359
8.6,3173.687,40.454,0.273333333,50.35
8.7,3664.275,40.494,0.271666667,50.35
8.8,3909.307,40.531,0.270277778,50.35
8.9,4011.285,40.541,0.268888889,50.35
9,4045.214,40.549,0.2675,50.35
9.1,3954.515,40.549,0.265833333,50.35
9.2,4006.66,40.549,0.264444444,50.357
9.3,3917.069,40.549,0.263055556,50.419
9.4,3841.189,40.553,0.261388889,50.474
9.5,3818.581,40.581,0.26,50.484
9.6,3733.052,40.608,0.258611111,50.488
9.7,3784.361,40.63,0.257222222,50.44
9.8,3838.567,40.649,0.255555556,50.401
9.9,3918.438,40.649,0.254166667,50.422
10,3859.3,40.649,0.252777778,50.449
10.1,3967.678,40.649,0.251388889,50.524
10.2,3920.22,40.652,0.246388889,50.587
10.3,3796.093,40.668,0.218333333,50.568
10.4,3569.099,40.687,0.186666667,50.54
10.5,3574.205,40.72,0.135,50.451
10.6,3948.128,40.75,0.107222222,50.384
10.7,3934.283,40.75,0.079444444,50.45
10.8,3628.74,40.75,0.053611111,50.522
10.9,3804.461,40.75,0.039722222,50.631
11,3901.041,40.75,0.0275,50.712
11.1,3661.228,40.754,0.025,50.624
11.2,3979.571,40.765,0.022222222,50.55
11.3,3732.491,40.811,0.019722222,50.551
11.4,3921.696,40.85,0.017222222,50.566
11.5,3860.759,40.85,0.014722222,50.656
11.6,3749.232,40.85,0.012222222,50.722
11.7,3651.363,40.85,0.009722222,50.647
11.8,3749.855,40.855,0.007222222,50.592
11.9,3839.9,40.895,0.004722222,50.654
12,3805.033,40.929,0.002222222,50.709
12.1,3716.886,40.94,0,50.731
12.2,3756.894,40.95,0,50.755
12.3,3853.938,40.95,0,50.786
12.4,3828.733,40.954,0,50.806
12.5,3861.288,40.982,0,50.769
12.6,4123.254,41.01,0,50.739
12.7,4699.167,41.031,0,50.743
12.8,4864.257,41.05,0,50.756
12.9,5174.036,41.05,0,50.807
13,5816.216,41.053,0,50.85
13.1,6786.423,41.07,0,50.85
13.2,7601.876,41.091,0,50.855
13.3,7671.702,41.123,0,50.885
13.4,7588.666,41.15,0,50.92
13.5,7405.083,41.15,0,50.979
13.6,7021.369,41.151,0,51.018
13.7,6521.226,41.159,0,50.972
13.8,5905.089,41.173,0,50.931
13.9,5250.836,41.215,0,50.916
14,4811.693,41.25,0,50.944
14.1,4624.896,41.251,0,51.167
14.2,4369.42,41.26,0,51.329
14.3,4130.952,41.306,0,51.236
14.4,4165.984,41.345,0,51.151
14.5,4132.33,41.347,0,51.101
14.6,3985.457,41.35,0,51.075
14.7,3929.499,41.35,0,51.151
14.8,4004.18,41.357,0,51.209
14.9,4304.565,41.394,0,51.19
15,5059.194,41.427,0,51.186
15.1,5947.581,41.44,0,51.241
15.2,7029.772,41.456,0,51.297
15.3,7487.999,41.485,0,51.359
15.4,7555.093,41.513,0,51.403
15.5,7901.912,41.533,0,51.371
15.6,8006.099,41.554,0,51.341
15.7,7728.999,41.577,0,51.315
15.8,7714.32,41.601,0,51.305
15.9,7677.148,41.628,0,51.351
16,7795.951,41.653,0,51.394
16.1,7925.794,41.669,0,51.425
16.2,7735.968,41.689,0,51.453
16.3,7763.868,41.723,0,51.467
16.4,7718.823,41.752,0,51.485
16.5,7521.868,41.764,0,51.521
16.6,7122.938,41.781,0,51.549
16.7,6594.411,41.819,0,51.549
16.8,5936.096,41.851,0,51.551
16.9,5289.932,41.856,0,51.556
17,4878.189,41.87,0,51.57
17.1,4615.765,41.915,0,51.611
17.2,4306.27,41.949,0,51.633
17.3,4128.233,41.949,0,51.586
17.4,4106.915,41.96,0,51.561
17.5,4084.809,42.008,0,51.608
17.6,4078.573,42.055,0,51.655
17.7,4077.489,42.101,0,51.701
17.8,4113.252,42.139,0,51.72
17.9,4095.058,42.145,0,51.645
18,4127.49,42.159,0,51.61
18.1,4127.266,42.196,0,51.704
18.2,4110.237,42.236,0,51.776
18.3,4091.72,42.282,0,51.78
18.4,4110.366,42.329,0,51.793
18.5,4110.779,42.375,0,51.838
18.6,4146.066,42.416,0,51.869
18.7,4138.807,42.435,0,51.855
18.8,4120.217,42.455,0,51.839
18.9,4130.748,42.478,0,51.813
19,4137.786,42.507,0,51.796
19.1,4113.609,42.554,0,51.804
19.2,4141.815,42.601,0,51.811
19.3,4179.801,42.647,0,51.813
19.4,4118.605,42.691,0,51.832
19.5,4100.309,42.725,0,51.9
19.6,4058.99,42.752,0,51.958
19.7,4065.742,42.762,0,51.987
19.8,4233.689,42.782,0,52.036
19.9,4113.091,42.83,0,52.141
20,4090.715,42.878,0,52.196
20.1,4099.315,42.925,0,52.112
20.2,4105.885,42.973,0,52.049
20.3,4149.232,43.02,0,52.047
20.4,4132.656,43.066,0,52.033
20.5,4066.92,43.113,0,51.987
20.6,4083.189,43.147,0,51.952
20.7,4076.924,43.149,0,51.951
20.8,4073.269,43.161,0,51.95
20.9,4124.651,43.203,0,51.95
21,4114.234,43.247,0,51.961
21.1,4088.016,43.293,0,51.999
21.2,4139.869,43.33,0,52.06
21.3,4076.256,43.341,0,52.179
21.4,4066.215,43.359,0,52.258
21.5,4121.335,43.392,0,52.234
21.6,4139.766,43.429,0,52.207
21.7,4071.734,43.475,0,52.173
21.8,4126.536,43.523,0,52.134
21.9,4139.804,43.57,0,52.081
22,4134.107,43.61,0,52.043
22.1,4103.605,43.633,0,52.044
22.2,4110.416,43.656,0,52.06
22.3,4083.573,43.676,0,52.112
22.4,4099.111,43.704,0,52.144
22.5,4113.985,43.752,0,52.127
22.6,4111.063,43.799,0,52.113
22.7,4050.415,43.846,0,52.11
22.8,4046.246,43.89,0,52.129
22.9,4121.421,43.925,0,52.2
23,4118.24,43.952,0,52.247
23.1,4106.485,43.961,0,52.238
23.2,4101.95,43.982,0,52.226
23.3,4083.258,44.029,0,52.209
23.4,4147.401,44.075,0,52.247
23.5,4123.634,44.119,0,52.412
23.6,4090.324,44.15,0,52.468
23.7,4111.636,44.15,0,52.283
23.8,4114.95,44.164,0,52.169
23.9,4127.475,44.21,0,52.212
24,4075.259,44.257,0,52.243
24.1,4109.24,44.306,0,52.247
24.2,4116.615,44.34,0,52.25
24.3,4090.018,44.346,0,52.25
24.4,4069.043,44.362,0,52.25
24.5,4066.912,44.4,0,52.25
24.6,4072.989,44.441,0,52.272
24.7,4091.781,44.489,0,52.344
24.8,4077.313,44.536,0,52.402
24.9,4014.453,44.582,0,52.431
25,4037.873,44.628,0,52.441
25.1,4096.139,44.674,0,52.413
25.2,4077.44,44.712,0,52.387
25.3,4071.371,44.735,0,52.365
25.4,4055.388,44.757,0,52.342
25.5,4042.752,44.779,0,52.32
25.6,4105.243,44.811,0,52.309
25.7,4070.655,44.858,0,52.321
25.8,4101.194,44.9,0,52.337
25.9,4073.389,44.93,0,52.362
26,4093.487,44.955,0,52.356
26.1,4100.562,44.971,0,52.292
26.2,4038.415,44.997,0,52.254
26.3,4084.446,45.044,0,52.266
26.4,4096.631,45.088,0,52.291
26.5,4079.116,45.125,0,52.337
26.6,4074.356,45.152,0,52.38
26.7,4082.34,45.158,0,52.415
26.8,4071.734,45.178,0,52.424
26.9,4076.086,45.224,0,52.384
27,4103.734,45.271,0,52.391
27.1,4086.356,45.318,0,52.487
27.2,4080.098,45.349,0,52.548
27.3,4090.672,45.349,0,52.549
27.4,4072.327,45.382,0,52.534
27.5,4135.966,45.47,0,52.489
27.6,4108.586,45.531,0,52.474
27.7,4054.215,45.542,0,52.511
27.8,4026.397,45.564,0,52.537
27.9,4094.055,45.603,0,52.545
28,4122.994,45.645,0,52.563
28.1,4060.645,45.693,0,52.6
28.2,4094.766,45.728,0,52.616
28.3,4131.079,45.741,0,52.596
28.4,4091.955,45.761,0,52.599
28.5,4069.157,45.79,0,52.641
28.6,4079.135,45.826,0,52.652
28.7,4074.545,45.873,0,52.614
28.8,4083.322,45.912,0,52.582
28.9,4105.045,45.935,0,52.56
29,4087.693,45.958,0,52.558
