Time (s),RPM,Coolant
0,0,40.449
0.1,0,40.449
0.2,0,40.449
0.3,0,40.449
0.4,0,40.449
0.5,0,40.449
0.6,0,40.449
0.7,0,40.449
0.8,0,40.449
0.9,0,40.449
1,0,40.449
1.1,0,40.449
1.2,0,40.449
1.3,0,40.449
1.4,0,40.449
1.5,0,40.449
1.6,0,40.449
1.7,0,40.449
1.8,0,40.449
1.9,0,40.449
2,0,40.449
2.1,0,40.449
2.2,0,40.449
2.3,0,40.449
2.4,0,40.449
2.5,0,40.449
2.6,0,40.449
2.7,0,40.449
2.8,0,40.449
2.9,0,40.449
3,0,40.449
3.1,0,40.449
3.2,0,40.449
3.3,0,40.449
3.4,0,40.449
3.5,128.655,40.449
3.6,2587.31,40.449
3.7,2856.526,40.449
3.8,2838.979,40.449
3.9,2829.469,40.449
4,2865.444,40.449
4.1,2859.814,40.449
4.2,2956.864,40.449
4.3,2912.576,40.449
4.4,2568.19,40.449
4.5,2009.12,40.449
4.6,1479.328,40.449
4.7,1673.107,40.449
4.8,2343.908,40.449
4.9,2930.933,40.449
5,3037.766,40.449
5.1,3255.965,40.449
5.2,3968.486,40.449
5.3,3755.175,40.449
5.4,3901.342,40.449
5.5,3636.687,40.449
5.6,3271.371,40.447
5.7,3597.327,40.413
5.8,3880.208,40.38
5.9,3622.207,40.365
6,3275.465,40.35
6.1,3760.014,40.35
6.2,4067.135,40.35
6.3,3717.961,40.35
6.4,3528.971,40.35
6.5,3765.944,40.35
6.6,4064.193,40.35
6.7,4008.592,40.35
6.8,3739.819,40.35
6.9,3886.041,40.35
7,3859.654,40.35
7.1,3731.758,40.35
7.2,3655.384,40.35
7.3,3650.471,40.35
7.4,3699.449,40.351
7.5,3481.188,40.358
7.6,3377.044,40.368
7.7,3392.926,40.411
7.8,3586.837,40.449
7.9,3520.753,40.449
8,3167.422,40.449
8.1,3218.141,40.449
8.2,3686.131,40.449
8.3,3782.563,40.449
8.4,3315.507,40.449
8.5,3037.603,40.449
8.6,3173.687,40.454
8.7,3664.275,40.494
8.8,3909.307,40.531
8.9,4011.285,40.541
9,4045.214,40.549
9.1,3954.515,40.549
9.2,4006.66,40.549
9.3,3917.069,40.549
9.4,3841.189,40.553
9.5,3818.581,40.581
9.6,3733.052,40.608
9.7,3784.361,40.63
9.8,3838.567,40.649
9.9,3918.438,40.649
10,3859.3,40.649
10.1,3967.678,40.649
10.2,3920.22,40.652
10.3,3796.093,40.668
10.4,3569.099,40.687
10.5,3574.205,40.72
10.6,3948.128,40.75
10.7,3934.283,40.75
10.8,3628.74,40.75
10.9,3804.461,40.75
11,3901.041,40.75
11.1,3661.228,40.754
11.2,3979.571,40.765
11.3,3732.491,40.811
11.4,3921.696,40.85
11.5,3860.759,40.85
11.6,3749.232,40.85
11.7,3651.363,40.85
11.8,3749.855,40.855
11.9,3839.9,40.895
12,3805.033,40.929
12.1,3716.886,40.94
12.2,3756.894,40.95
12.3,3853.938,40.95
12.4,3828.733,40.954
12.5,3861.288,40.982
12.6,4123.254,41.01
12.7,4699.167,41.031
12.8,4864.257,41.05
12.9,5174.036,41.05
13,5816.216,41.053
13.1,6786.423,41.07
13.2,7601.876,41.091
13.3,7671.702,41.123
13.4,7588.666,41.15
13.5,7405.083,41.15
13.6,7021.369,41.151
13.7,6521.226,41.159
13.8,5905.089,41.173
13.9,5250.836,41.215
14,4811.693,41.25
14.1,4624.896,41.251
14.2,4369.42,41.26
14.3,4130.952,41.306
14.4,4165.984,41.345
14.5,4132.33,41.347
14.6,3985.457,41.35
14.7,3929.499,41.35
14.8,4004.18,41.357
14.9,4304.565,41.394
15,5059.194,41.427
15.1,5947.581,41.44
15.2,7029.772,41.456
15.3,7487.999,41.485
15.4,7555.093,41.513
15.5,7901.912,41.533
15.6,8006.099,41.554
15.7,7728.999,41.577
15.8,7714.32,41.601
15.9,7677.148,41.628
16,7795.951,41.653
16.1,7925.794,41.669
16.2,7735.968,41.689
16.3,7763.868,41.723
16.4,7718.823,41.752
16.5,7521.868,41.764
16.6,7122.938,41.781
16.7,6594.411,41.819
16.8,5936.096,41.851
16.9,5289.932,41.856
17,4878.189,41.87
17.1,4615.765,41.915
17.2,4306.27,41.949
17.3,4128.233,41.949
17.4,4106.915,41.96
17.5,4084.809,42.008
17.6,4078.573,42.055
17.7,4077.489,42.101
17.8,4113.252,42.139
17.9,4095.058,42.145
18,4127.49,42.159
18.1,4127.266,42.196
18.2,4110.237,42.236
18.3,4091.72,42.282
18.4,4110.366,42.329
18.5,4110.779,42.375
18.6,4146.066,42.416
18.7,4138.807,42.435
18.8,4120.217,42.455
18.9,4130.748,42.478
19,4137.786,42.507
19.1,4113.609,42.554
19.2,4141.815,42.601
19.3,4179.801,42.647
19.4,4118.605,42.691
19.5,4100.309,42.725
19.6,4058.99,42.752
19.7,4065.742,42.762
19.8,4233.689,42.782
19.9,4113.091,42.83
20,4090.715,42.878
20.1,4099.315,42.925
20.2,4105.885,42.973
20.3,4149.232,43.02
20.4,4132.656,43.066
20.5,4066.92,43.113
20.6,4083.189,43.147
20.7,4076.924,43.149
20.8,4073.269,43.161
20.9,4124.651,43.203
21,4114.234,43.247
21.1,4088.016,43.293
21.2,4139.869,43.33
21.3,4076.256,43.341
21.4,4066.215,43.359
21.5,4121.335,43.392
21.6,4139.766,43.429
21.7,4071.734,43.475
21.8,4126.536,43.523
21.9,4139.804,43.57
22,4134.107,43.61
22.1,4103.605,43.633
22.2,4110.416,43.656
22.3,4083.573,43.676
22.4,4099.111,43.704
22.5,4113.985,43.752
22.6,4111.063,43.799
22.7,4050.415,43.846
22.8,4046.246,43.89
22.9,4121.421,43.925
23,4118.24,43.952
23.1,4106.485,43.961
23.2,4101.95,43.982
23.3,4083.258,44.029
23.4,4147.401,44.075
23.5,4123.634,44.119
23.6,4090.324,44.15
23.7,4111.636,44.15
23.8,4114.95,44.164
23.9,4127.475,44.21
24,4075.259,44.257
24.1,4109.24,44.306
24.2,4116.615,44.34
24.3,4090.018,44.346
24.4,4069.043,44.362
24.5,4066.912,44.4
24.6,4072.989,44.441
24.7,4091.781,44.489
24.8,4077.313,44.536
24.9,4014.453,44.582
25,4037.873,44.628
25.1,4096.139,44.674
25.2,4077.44,44.712
25.3,4071.371,44.735
25.4,4055.388,44.757
25.5,4042.752,44.779
25.6,4105.243,44.811
25.7,4070.655,44.858
25.8,4101.194,44.9
25.9,4073.389,44.93
26,4093.487,44.955
26.1,4100.562,44.971
26.2,4038.415,44.997
26.3,4084.446,45.044
26.4,4096.631,45.088
26.5,4079.116,45.125
26.6,4074.356,45.152
26.7,4082.34,45.158
26.8,4071.734,45.178
26.9,4076.086,45.224
27,4103.734,45.271
27.1,4086.356,45.318
27.2,4080.098,45.349
27.3,4090.672,45.349
27.4,4072.327,45.382
27.5,4135.966,45.47
27.6,4108.586,45.531
27.7,4054.215,45.542
27.8,4026.397,45.564
27.9,4094.055,45.603
28,4122.994,45.645
28.1,4060.645,45.693
28.2,4094.766,45.728
28.3,4131.079,45.741
28.4,4091.955,45.761
28.5,4069.157,45.79
28.6,4079.135,45.826
28.7,4074.545,45.873
28.8,4083.322,45.912
28.9,4105.045,45.935
29,4087.693,45.958
29.1,4055.956,45.978
29.2,4084.62,46.009
